6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
16 10 6	HJJJ.SH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J99 P99 H98 A99 D99 N98 L99 I99 G98 
16 8 8	HJJJPSH..DPSAANDPUBINDLUBIN.LO.GG..O J99 H98 A99 D99 N99 B99 I99 G98 
16 8 8	H.JJJSH...PSAANDPU..NDPUBINDLOBIGGLO J98 P99 H98 A99 N99 L99 G99 
16 12 4	HJJJ.SH...PS..AAPUBINDPUBINDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B99 I99 G97 
16 12 4	.JJJPSH...PSH.AAPUBIND.UBINDLOGGNDLO H97 J99 A97 B99 I99 N98 D99 L99 G97 
16 10 6	HJJJ.SH...PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G98 
16 10 6	H.JJJSH...PSAAN.PU.INDPUBINDLOBGGDLO J98 P99 H98 A99 D99 N99 L99 I99 G98 
16 10 6	HJJJPSH..DPSAA.DPUBINDLUBIN.LOGGN..O J99 H98 A99 D97 N98 B99 I99 G97 
17 9 8	HJJJPSH.NDPSAANDPUBIND.UBI..LOGG..LO J99 H98 A99 D99 N98 L99 B99 I99 G97 
17 9 8	HJJJPSH..DPSAANDPUBIND.UBIN.LO..GGLO J99 H98 A99 D99 N99 L99 B99 I99 G99 
17 13 4	.JJJ.SH...PSHAA.PUBINDPUBINDLOGGNDLO H97 J99 P99 A98 B99 I99 N98 D99 L99 G97 
17 12 5	JJJ.PSH...PSHAADPUBIND.UBINDLOGGN.LO J98 H97 A98 B99 I99 N98 L99 G97 
17 9 8	HJJJPSH..DPSAANDPUBIND.UBIN.LO.GG.LO J99 H98 A99 D99 N99 L99 B99 I99 G98 
17 9 8	HJJJ.SH..DPSAANDPUB.NDPUBIN.LO.IGGLO J99 P99 H98 A99 D99 N99 L99 B99 G99 
17 9 8	HJJJPSH...PSAANDPUBIND.UBINDLO..GGLO J99 H98 A99 N99 L99 B99 I99 G95 
17 13 4	HJJJ.SH...PSBAA.PUBINDPU.INDLOGGNDLO J99 P99 H98 A98 D99 N98 L99 B98 I99 G97 
17 10 7	H.JJJSH...PSAANDPUBINDPUBINDLO.GG.LO J98 P99 H98 A99 N99 L99 B99 I99 G98 
17 11 6	HJJJPSH..DPSAA.DPUBIND.UBIN.LOGGN.LO J99 H98 A99 D97 N98 L99 B99 I99 G97 
17 9 8	HJJJPSH.NDPSAANDPUBIND.UBI..LO..GGLO J99 H98 A99 D99 N98 L99 B99 I99 G99 
17 9 8	H.JJJSH...PSAANDPUB.NDPUBINDLO.IGGLO J98 P99 H98 A99 N99 L99 B99 G99 
17 10 7	HJJJ.SH.N.PSAANDPUBINDPUBI.DLO.GG.LO J99 P99 H98 A99 N98 L99 B99 I99 G98 
17 11 6	HJJJ.SH.N.PSAAN.PUBINDPUBI.DLO.GGDLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G98 
17 11 6	HJJJ.SH.N.PSAAN.PUBINDPUBI.DLOGG.DLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
17 13 4	HJJJPSHI..PSBIAAPUB.ND.U..NDLOGGNDLO J99 H98 A97 D99 N98 L99 B98 I97 G97 
17 13 4	HJJJ.SH...PS.IAAPUBINDPUB.NDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B99 I98 G97 
17 9 8	HJJJ.SH.NDPSAANDPUB.NDPUBI..LO.IGGLO J99 P99 H98 A99 D99 N98 L99 B99 G99 
17 11 6	HJJJPSH..DPS.AADPUBINDLUBIN.LOGGN..O J99 H98 A98 D97 N98 B99 I99 G97 
17 13 4	HJJJPSH...PSBIAAPUBIND.U..NDLOGGNDLO J99 H98 A97 D99 N98 L99 B98 I98 G97 
17 9 8	HJJJ.SH.N.PSAANDPUBINDPUBI.DLO..GGLO J99 P99 H98 A99 N98 L99 B99 I99 G99 
17 13 4	HJJJ.SH...PSB.AAPUBINDPU.INDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B98 I99 G97 
17 9 8	HJJJ.SH.NDPSAANDPU.INDPUBI..LOB.GGLO J99 P99 H98 A99 D99 N98 L99 I99 G99 
17 13 4	.JJJPSH...PSHIAAPUBIND.UB.NDLOGGNDLO H97 J99 I98 A97 B99 N98 D99 L99 G97 
17 13 4	H.JJJSH...PS.AA.PUBINDPUBINDLOGGNDLO J98 P99 H98 A98 D99 N98 L99 B99 I99 G97 
17 11 6	.JJJPSH..DPSHAADPUBINDLUBIN.LOGGN..O H97 J99 A98 D99 B99 I99 N98 G97 
17 9 8	H.JJJSH.N.PSAANDPU.INDPUBI.DLOB.GGLO J98 P99 H98 A99 N98 L99 I99 G99 
17 9 8	H.JJJSH.N.PSAANDPUB.NDPUBI.DLO.IGGLO J98 P99 H98 A99 N98 L99 B99 G99 
17 13 4	JJJ.PSHI..PSHIAAPUB.NDLUB.NDLOGGND.O J98 H97 I97 A97 B99 N98 D99 G97 
17 9 8	HJJJPSH..DPSAANDPU.IND.UBIN.LOBGG.LO J99 H98 A99 D97 N99 L99 I99 G98 
17 9 8	H.JJJSH.NDPSAANDPU..NDPUBI..LOBIGGLO J98 P99 H98 A99 D99 N98 L99 G99 
17 13 4	.JJJ.SH...PSH.AAPUBINDPUBINDLOGGNDLO H97 J99 P99 A97 B99 I99 N98 D99 L99 G97 
17 9 8	HJJJ.SH..DPSAANDPU.INDPUBIN.LOB.GGLO J99 P99 H98 A99 D99 N99 L99 I99 G99 
17 9 8	HJJJPSH.NDPSAANDPU.INDLUBI..LOBGG..O J99 H98 A99 D97 N98 I99 G98 
17 13 4	.JJJPSHI..PSHIAAPUB.ND.UB.NDLOGGNDLO H97 J99 I97 A97 B99 N98 D99 L99 G97 
17 13 4	JJJ.PSH...PSH.AAPUBIND.UBINDLOGGNDLO J98 H97 A97 B99 I99 N98 D99 L99 G97 
17 13 4	H.JJJSH...PS..AAPUBINDPUBINDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I99 G97 
17 13 4	JJJ.PSH...PSHAA.PUBIND.UBINDLOGGNDLO J98 H97 A98 B99 I99 N98 D99 L99 G97 
17 10 7	H.JJJSH.N.PSAANDPU.INDPUBI.DLOBGG.LO J98 P99 H98 A99 N98 L99 I99 G98 
17 13 4	JJJ.PSH...PSHIAAPUBINDLUB.NDLOGGND.O J98 H97 I98 A97 B99 N98 D99 G97 
17 12 5	HJJJ.SH...PSBAADPUBINDPU.INDLOGGN.LO J99 P99 H98 A98 N98 L99 B98 I99 G97 
